"Id","BIRTHDATE","DEATHDATE","SSN","DRIVERS","PASSPORT","PREFIX","FIRST","LAST","SUFFIX","MAIDEN","MARITAL","RACE","ETHNICITY","GENDER","BIRTHPLACE","ADDRESS","CITY","STATE","ZIP"
"3d8e57b2-3de5-4fb6-95b4-8370270c5cc2",1943-03-11,NA,"999-86-7250","S99939389","X3970685X","Mrs.","Allyn942","Kreiger457",NA,"Bartoletti50","M","asian","asian_indian","F","Muhlenberg  Pennsylvania  US","372 Marks Heights Unit 20","Middle Paxton","Pennsylvania",NA
"7f4ea9fb-f436-411e-ab34-e94750edfa93",1980-09-28,NA,"999-90-4314","S99920355","X28211313X","Mr.","Kieth891","King743",NA,NA,"M","white","irish","M","Overfield  Pennsylvania  US","428 Strosin Fort Suite 49","Limerick","Pennsylvania",NA
"553b00b2-347c-48ec-90ee-f59924ff50eb",1973-02-22,NA,"999-78-9189","S99980820","X9988931X","Mrs.","Domenica436","Fadel536",NA,"Labadie908","M","white","scottish","F","Wilkins  Pennsylvania  US","519 Ziemann Trail","Washington","Pennsylvania",15301
"50f799aa-740c-4da9-ab85-49d5cbf4046b",1955-03-30,NA,"999-49-5162","S99961309","X17464073X","Mr.","Kelly223","Turner526",NA,NA,"M","white","irish","M","Manor  Pennsylvania  US","158 Dickens Corner Suite 2","Manheim","Pennsylvania",17545
"bcef3b7a-0380-4b7e-b2b9-2caf07e41f0e",2009-05-24,NA,"999-74-7736",NA,NA,NA,"Zack583","Purdy2",NA,NA,NA,"white","german","M","Cranberry  Pennsylvania  US","1000 Vandervort Run","Washington","Pennsylvania",15301
"2043c57c-1085-45a3-87e8-a223d5b6693d",1978-09-30,NA,"999-48-4898","S99965069","X54730783X","Mr.","Eduardo902","Rojo930",NA,NA,"S","black","dominican","M","Wesley  Saint Andrew Parish  DM","580 Bechtelar Divide","Manheim","Pennsylvania",17545
"7341aae3-7606-456e-b3c1-f67d1bc6b19b",1983-01-01,NA,"999-19-7005","S99935110","X63153562X","Mr.","Emerson869","Gutmann970",NA,NA,"M","black","african","M","Lower Makefield  Pennsylvania  US","563 O'Hara Wynd","Pittsburgh","Pennsylvania",15106
"12645cb2-8205-4627-b7d0-4eca7a9a90ae",1997-01-17,NA,"999-97-5681","S99919452","X44806182X","Ms.","Amiee221","Kertzmann286",NA,NA,NA,"white","irish","F","Mifflintown  Pennsylvania  US","349 Hilpert Loaf","Cumberland","Pennsylvania",NA
"9a4b9350-9afd-42a7-89bf-96cb658e3fda",2004-03-22,NA,"999-90-9117",NA,NA,NA,"Aubrey96","Bogan287",NA,NA,NA,"white","english","M","Upper Providence  Pennsylvania  US","750 Bashirian Glen Unit 70","Pocopson","Pennsylvania",NA
"6a670a3e-3a23-42bf-82ca-b8fb4d1027a0",2012-03-02,NA,"999-74-5582",NA,NA,NA,"Diego848","Douglas31",NA,NA,NA,"white","irish","M","Allentown  Pennsylvania  US","1034 Ward Gate","Springfield","Pennsylvania",NA
